Unnamed: 0,status,loan_amnt,term,annual_inc,dti,payment_inc_ratio,revol_bal,revol_util,purpose,home_ownership,delinq_2yrs_zero,pub_rec_zero,open_acc,grade,outcome,emp_length,purpose_,home_,emp_len_,borrower_score
15663,Charged Off,19425,60 months,76000,22.18,7.66721,4523,18.0,debt_consolidation,MORTGAGE,0,1,13,5.0,default,5,debt_consolidation,MORTGAGE, > 1 Year,0.55
13020,Charged Off,15000,36 months,85000,3.6,6.84904,11957,67.9,credit_card,MORTGAGE,1,1,11,5.2,default,11,credit_card,MORTGAGE, > 1 Year,0.45
10575,Charged Off,10000,36 months,51000,11.08,8.56447,12579,97.5,debt_consolidation,RENT,1,1,8,3.4,default,11,debt_consolidation,RENT, > 1 Year,0.45
9720,Charged Off,6000,36 months,85000,19.45,3.09868,20413,61.9,house,RENT,0,1,8,3.6,default,8,home_improvement,RENT, > 1 Year,0.6
37705,Fully Paid,25000,36 months,95004,15.78,11.1134,28636,67.5,debt_consolidation,MORTGAGE,1,1,15,4.0,paid off,4,debt_consolidation,MORTGAGE, > 1 Year,0.55
36202,Fully Paid,10000,36 months,72500,20.44,5.42996,15525,53.9,debt_consolidation,MORTGAGE,1,1,10,5.4,paid off,2,debt_consolidation,MORTGAGE, > 1 Year,0.65
34190,Fully Paid,11000,36 months,36000,15.83,12.1733,23253,72.0,other,RENT,1,1,13,4.8,paid off,1,other,RENT, > 1 Year,0.55
19196,Charged Off,18500,60 months,54000,23.36,9.49578,6056,34.2,debt_consolidation,RENT,1,1,13,6.0,default,9,debt_consolidation,RENT, > 1 Year,0.4
37770,Fully Paid,8800,36 months,110000,12.73,3.34255,15421,84.3,small_business,OWN,1,1,9,4.4,paid off,11,small_business,OWN, > 1 Year,0.4
12994,Charged Off,14000,36 months,85000,18.83,6.48395,35592,78.2,debt_consolidation,MORTGAGE,0,1,15,5.4,default,11,debt_consolidation,MORTGAGE, > 1 Year,0.35
8562,Charged Off,2700,36 months,57707,16.45,2.05389,1879,15.5,other,OWN,1,1,7,3.6,default,11,other,OWN, > 1 Year,0.5
9195,Charged Off,20250,60 months,45000,16.8,15.8149,11804,89.4,debt_consolidation,RENT,1,1,9,1.8,default,7,debt_consolidation,RENT, > 1 Year,0.35
38577,Fully Paid,14000,36 months,65000,24.54,8.35938,19562,57.2,credit_card,MORTGAGE,1,1,11,5.2,paid off,6,credit_card,MORTGAGE, > 1 Year,0.5
8387,Charged Off,17500,60 months,65000,5.19,8.95994,14407,70.3,medical,RENT,1,1,4,2.8,default,6,medical,RENT, > 1 Year,0.4
23958,Fully Paid,35000,60 months,65000,18.26,17.5826,34637,57.8,debt_consolidation,RENT,1,1,14,1.4,paid off,1,debt_consolidation,RENT, > 1 Year,0.55
11367,Charged Off,25000,60 months,80000,17.16,10.736,25011,85.4,debt_consolidation,RENT,1,1,11,1.8,default,2,debt_consolidation,RENT, > 1 Year,0.4
32654,Fully Paid,12800,36 months,60000,9.65,8.5176,4959,41.3,debt_consolidation,RENT,1,1,6,5.6,paid off,3,debt_consolidation,RENT, > 1 Year,0.5
30739,Fully Paid,24000,60 months,70000,21.72,10.3963,22231,61.6,debt_consolidation,MORTGAGE,1,1,11,3.2,paid off,8,debt_consolidation,MORTGAGE, > 1 Year,0.25
3886,Charged Off,2500,36 months,8412,16.41,11.0357,9,0.0,other,OWN,1,1,12,6.6,default,0,other,OWN, < 1 Year,0.5
22157,Default,9000,36 months,38000,31.01,10.2139,11077,57.7,debt_consolidation,RENT,1,1,17,3.4,default,11,debt_consolidation,RENT, > 1 Year,0.5
8228,Charged Off,35000,60 months,110000,15.45,11.0019,128194,23.1,debt_consolidation,MORTGAGE,0,1,16,1.4,default,2,debt_consolidation,MORTGAGE, > 1 Year,0.65
39497,Fully Paid,8600,36 months,112500,12.22,3.09557,102259,49.0,debt_consolidation,MORTGAGE,0,1,9,4.4,paid off,4,debt_consolidation,MORTGAGE, > 1 Year,0.6
6856,Charged Off,3775,36 months,58000,29.62,2.73103,35354,78.9,debt_consolidation,MORTGAGE,0,1,11,4.6,default,5,debt_consolidation,MORTGAGE, > 1 Year,0.5
199,Charged Off,8000,36 months,42240,12.33,6.97813,9950,53.5,credit_card,OWN,1,1,15,6.4,default,11,credit_card,OWN, > 1 Year,0.75
24745,Fully Paid,20700,60 months,140000,14.51,4.75029,19313,82.2,credit_card,RENT,0,1,16,2.4,paid off,9,credit_card,RENT, > 1 Year,0.6
21327,Charged Off,20000,36 months,125000,20.98,6.56026,13244,80.1,other,MORTGAGE,0,1,20,4.6,default,11,other,MORTGAGE, > 1 Year,0.2
8324,Charged Off,8000,36 months,55000,0.5,5.93847,1160,5.8,other,RENT,1,1,1,4.2,default,5,other,RENT, > 1 Year,0.65
42835,Fully Paid,15000,60 months,38500,20.7,11.1008,15196,48.5,debt_consolidation,RENT,1,1,11,3.4,paid off,2,debt_consolidation,RENT, > 1 Year,0.55
21227,Charged Off,5125,36 months,14400,16.97,15.0767,9468,5.7,other,OWN,1,0,11,3.4,default,11,other,OWN, > 1 Year,0.55
18658,Charged Off,4500,36 months,33800,8.38,5.31586,5293,31.5,major_purchase,MORTGAGE,1,1,11,5.6,default,7,major_purchase,MORTGAGE, > 1 Year,0.35
6146,Charged Off,1400,36 months,45000,11.39,1.45893,8911,45.9,vacation,RENT,1,1,10,1.2,default,6,other,RENT, > 1 Year,0.55
13827,Charged Off,10000,36 months,65000,7.46,6.23022,1387,9.5,home_improvement,MORTGAGE,1,0,8,5.8,default,4,home_improvement,MORTGAGE, > 1 Year,0.65
20567,Charged Off,30000,60 months,80000,18.15,12.1463,14958,64.8,debt_consolidation,MORTGAGE,1,0,10,1.2,default,10,debt_consolidation,MORTGAGE, > 1 Year,0.2
41299,Fully Paid,8000,36 months,33696,10.36,8.74751,195,3.9,credit_card,RENT,1,1,5,6.4,paid off,3,credit_card,RENT, > 1 Year,0.7
10302,Charged Off,35000,36 months,100000,26.82,15.0307,30554,41.4,debt_consolidation,OWN,0,1,29,5.0,default,11,debt_consolidation,OWN, > 1 Year,0.4
30973,Fully Paid,15000,60 months,113000,19.09,3.57727,1342,8.5,debt_consolidation,MORTGAGE,1,1,11,5.8,paid off,10,debt_consolidation,MORTGAGE, > 1 Year,0.6
1717,Charged Off,9000,36 months,90300,13.77,3.85874,6211,47.4,home_improvement,MORTGAGE,1,1,6,5.2,default,11,home_improvement,MORTGAGE, > 1 Year,0.45
44015,Fully Paid,8875,36 months,27000,21.07,14.1733,7106,32.4,debt_consolidation,OWN,0,1,17,3.2,paid off,5,debt_consolidation,OWN, > 1 Year,0.65
33184,Fully Paid,6000,60 months,73248,5.24,2.2613,6904,30.1,home_improvement,MORTGAGE,1,0,13,4.4,paid off,11,home_improvement,MORTGAGE, > 1 Year,0.55
29383,Fully Paid,9000,36 months,60679,16.59,6.11183,4803,69.6,house,RENT,1,1,6,4.2,paid off,1,home_improvement,RENT, > 1 Year,0.25
25278,Fully Paid,14800,36 months,42699,23.02,13.8391,9845,93.8,debt_consolidation,RENT,1,1,6,5.6,paid off,10,debt_consolidation,RENT, > 1 Year,0.55
30711,Fully Paid,3500,36 months,36000,4.21,3.58233,368,1.7,other,RENT,1,1,8,6.4,paid off,4,other,RENT, > 1 Year,0.7
23296,Fully Paid,10000,36 months,193000,0.83,2.09677,4815,82.4,other,MORTGAGE,0,1,3,4.4,paid off,11,other,MORTGAGE, > 1 Year,0.5
42228,Fully Paid,4000,36 months,85000,15.09,1.9392,5777,39.8,home_improvement,MORTGAGE,1,1,7,4.2,paid off,2,home_improvement,MORTGAGE, > 1 Year,0.45
33509,Fully Paid,9600,36 months,100000,11.44,3.89388,4533,14.3,other,MORTGAGE,0,1,17,4.4,paid off,1,other,MORTGAGE, > 1 Year,0.6
7566,Charged Off,6625,36 months,25000,17.14,11.1192,5090,73.8,debt_consolidation,RENT,0,1,15,4.6,default,1,debt_consolidation,RENT, > 1 Year,0.45
21940,Charged Off,4000,36 months,21000,20.69,7.64571,4307,64.3,debt_consolidation,MORTGAGE,1,0,9,5.8,default,0,debt_consolidation,MORTGAGE, < 1 Year,0.35
19347,Charged Off,3000,36 months,36400,8.04,3.09495,7139,37.0,moving,RENT,1,1,5,6.8,default,6,other,RENT, > 1 Year,0.4
32889,Fully Paid,12475,36 months,66000,14.03,6.96418,3791,33.5,other,MORTGAGE,1,1,7,6.4,paid off,6,other,MORTGAGE, > 1 Year,0.45
6599,Charged Off,35000,36 months,78000,29.79,21.0408,34617,94.1,debt_consolidation,RENT,0,1,16,1.2,default,11,debt_consolidation,RENT, > 1 Year,0.5
41438,Fully Paid,21000,60 months,90154,27.23,6.52723,11167,82.7,debt_consolidation,RENT,1,1,19,4.4,paid off,7,debt_consolidation,RENT, > 1 Year,0.55
44484,Fully Paid,3000,36 months,14400,9.31,8.535,3745,64.6,other,OWN,1,1,7,4.8,paid off,6,other,OWN, > 1 Year,0.55
43977,Fully Paid,4800,60 months,72000,14.32,2.02633,2306,45.2,credit_card,MORTGAGE,1,1,6,3.0,paid off,5,credit_card,MORTGAGE, > 1 Year,0.55
8926,Charged Off,28000,60 months,80000,12.93,10.5651,15334,83.8,home_improvement,MORTGAGE,1,1,8,3.2,default,11,home_improvement,MORTGAGE, > 1 Year,0.45
26476,Fully Paid,10000,36 months,148000,9.12,2.48951,11926,24.2,debt_consolidation,MORTGAGE,1,1,9,6.4,paid off,11,debt_consolidation,MORTGAGE, > 1 Year,0.85
38687,Fully Paid,18775,36 months,70000,23.76,11.0145,39703,81.4,credit_card,RENT,1,1,19,6.0,paid off,11,credit_card,RENT, > 1 Year,0.7
22624,Charged Off,1000,36 months,69000,4.9,0.590435,1319,14.5,medical,MORTGAGE,0,1,11,6.0,default,3,medical,MORTGAGE, > 1 Year,0.75
10768,Charged Off,12000,36 months,65000,29.04,7.60726,24108,59.3,debt_consolidation,RENT,0,1,22,4.2,default,2,debt_consolidation,RENT, > 1 Year,0.4
24508,Fully Paid,35000,60 months,95000,12.91,11.5172,35155,46.6,debt_consolidation,MORTGAGE,1,1,9,3.6,paid off,11,debt_consolidation,MORTGAGE, > 1 Year,0.5
21575,Charged Off,10000,36 months,45000,26.61,9.67413,12049,48.2,debt_consolidation,RENT,1,1,12,3.6,default,3,debt_consolidation,RENT, > 1 Year,0.45
25818,Fully Paid,20000,36 months,145000,16.7,5.58571,9075,38.5,debt_consolidation,MORTGAGE,0,1,19,5.8,paid off,2,debt_consolidation,MORTGAGE, > 1 Year,0.55
41832,Fully Paid,15800,36 months,50000,18.48,11.8164,15800,39.6,credit_card,MORTGAGE,1,1,13,6.6,paid off,11,credit_card,MORTGAGE, > 1 Year,0.4
43239,Fully Paid,5000,36 months,30960,18.95,6.38992,1852,46.3,debt_consolidation,RENT,1,1,3,5.8,paid off,6,debt_consolidation,RENT, > 1 Year,0.45
20910,Charged Off,18000,60 months,65000,22.14,4.83803,9174,55.8,debt_consolidation,RENT,1,1,12,4.8,default,11,debt_consolidation,RENT, > 1 Year,0.5
32981,Fully Paid,15000,36 months,98000,21.8,6.0998,29640,36.5,small_business,MORTGAGE,1,1,19,5.6,paid off,1,small_business,MORTGAGE, > 1 Year,0.7
13406,Charged Off,7000,36 months,65000,27.86,4.36117,18937,65.5,debt_consolidation,RENT,1,0,13,5.8,default,4,debt_consolidation,RENT, > 1 Year,0.35
4464,Charged Off,9000,36 months,30000,15.44,12.4112,3971,58.4,major_purchase,RENT,1,1,11,3.2,default,3,major_purchase,RENT, > 1 Year,0.5
21202,Default,9000,36 months,40000,27.06,8.9256,4245,86.6,debt_consolidation,RENT,1,1,4,5.8,default,5,debt_consolidation,RENT, > 1 Year,0.4
40866,Fully Paid,5000,36 months,120000,3.02,1.7038,4339,13.7,debt_consolidation,RENT,0,1,10,5.0,paid off,7,debt_consolidation,RENT, > 1 Year,0.65
4242,Charged Off,9600,36 months,37800,23.84,10.339,2304,32.9,other,RENT,1,1,7,4.6,default,8,other,RENT, > 1 Year,0.45
20019,Charged Off,10000,36 months,85000,8.64,4.29685,4197,13.9,moving,MORTGAGE,1,1,9,6.2,default,11,other,MORTGAGE, > 1 Year,0.65
43311,Fully Paid,21000,36 months,210000,23.95,3.73937,32594,52.3,debt_consolidation,MORTGAGE,1,1,18,6.6,paid off,6,debt_consolidation,MORTGAGE, > 1 Year,0.55
29891,Fully Paid,17600,36 months,102747,9.35,6.31131,2591,31.2,credit_card,RENT,1,0,7,6.4,paid off,3,credit_card,RENT, > 1 Year,0.7
27643,Fully Paid,10000,36 months,52000,25.96,7.08554,26154,42.6,other,MORTGAGE,1,1,9,6.4,paid off,9,other,MORTGAGE, > 1 Year,0.7
31346,Fully Paid,18825,36 months,55530,26.69,12.9176,41298,38.4,debt_consolidation,MORTGAGE,1,1,7,7.0,paid off,11,debt_consolidation,MORTGAGE, > 1 Year,0.4
945,Charged Off,5600,36 months,39000,19.54,5.69938,6663,27.5,debt_consolidation,MORTGAGE,0,1,18,5.6,default,9,debt_consolidation,MORTGAGE, > 1 Year,0.6
29594,Fully Paid,5000,36 months,24000,18.7,8.1555,14278,45.8,debt_consolidation,RENT,1,1,3,5.4,paid off,6,debt_consolidation,RENT, > 1 Year,0.5
9572,Charged Off,2000,36 months,30000,18.4,2.808,3717,55.5,credit_card,RENT,1,1,7,4.8,default,2,credit_card,RENT, > 1 Year,0.5
17289,Charged Off,10800,36 months,47000,20.66,9.46877,709,41.7,debt_consolidation,MORTGAGE,0,1,7,4.2,default,11,debt_consolidation,MORTGAGE, > 1 Year,0.3
7507,Charged Off,6950,36 months,75000,5.41,3.92048,3504,62.6,debt_consolidation,RENT,1,0,8,4.8,default,6,debt_consolidation,RENT, > 1 Year,0.5
7001,Charged Off,5000,36 months,52000,13.75,3.88731,12198,64.5,debt_consolidation,MORTGAGE,0,1,9,5.8,default,1,debt_consolidation,MORTGAGE, > 1 Year,0.5
21474,Charged Off,16475,60 months,55000,18.36,10.7199,7678,86.3,debt_consolidation,OWN,1,1,9,0.2,default,6,debt_consolidation,OWN, > 1 Year,0.35
22341,Charged Off,10000,36 months,56000,14.25,7.34057,6662,19.3,other,MORTGAGE,0,0,20,4.4,default,11,other,MORTGAGE, > 1 Year,0.7
11374,Charged Off,12000,60 months,40000,22.98,8.8101,7375,45.2,credit_card,RENT,1,0,12,4.8,default,1,credit_card,RENT, > 1 Year,0.4
45135,Fully Paid,12375,36 months,47000,4.72,11.077,6745,71.8,debt_consolidation,RENT,1,1,5,4.6,paid off,8,debt_consolidation,RENT, > 1 Year,0.45
40613,Fully Paid,2300,36 months,75000,24.72,1.20736,21417,54.2,major_purchase,MORTGAGE,1,1,10,5.4,paid off,9,major_purchase,MORTGAGE, > 1 Year,0.55
4574,Charged Off,13000,36 months,24000,10.8,21.862,9424,38.6,other,RENT,1,1,11,4.2,default,11,other,RENT, > 1 Year,0.55
30305,Fully Paid,15000,36 months,40000,9.41,15.1602,14771,41.4,debt_consolidation,MORTGAGE,1,1,16,5.8,paid off,0,debt_consolidation,MORTGAGE, < 1 Year,0.4
17447,Charged Off,15875,36 months,40000,18.96,14.9022,19029,41.5,debt_consolidation,MORTGAGE,1,1,12,6.8,default,4,debt_consolidation,MORTGAGE, > 1 Year,0.3
20323,Charged Off,9600,60 months,30852,21.69,7.91715,11879,22.5,debt_consolidation,RENT,1,1,9,5.2,default,11,debt_consolidation,RENT, > 1 Year,0.5
4300,Charged Off,9250,36 months,19200,10.81,19.8206,0,0.0,debt_consolidation,RENT,1,1,2,5.0,default,1,debt_consolidation,RENT, > 1 Year,0.35
42782,Fully Paid,16000,36 months,56033,22.57,11.8197,32078,49.3,credit_card,MORTGAGE,1,1,15,4.6,paid off,8,credit_card,MORTGAGE, > 1 Year,0.35
20779,Charged Off,30000,60 months,68000,17.79,13.6286,4072,49.7,house,OWN,1,0,9,2.2,default,4,home_improvement,OWN, > 1 Year,0.3
2552,Charged Off,3000,36 months,18000,0.0,6.74467,0,0.0,other,RENT,0,1,2,4.4,default,5,other,RENT, > 1 Year,0.35
8010,Charged Off,10000,36 months,37000,25.82,11.7658,11272,75.7,credit_card,RENT,1,1,7,3.4,default,11,credit_card,RENT, > 1 Year,0.65
10610,Charged Off,10000,36 months,33500,26.76,13.0854,12577,73.5,debt_consolidation,OWN,1,1,6,3.6,default,4,debt_consolidation,OWN, > 1 Year,0.45
31933,Fully Paid,9000,36 months,75000,15.25,4.78224,10770,79.2,debt_consolidation,MORTGAGE,1,1,8,5.6,paid off,1,debt_consolidation,MORTGAGE, > 1 Year,0.6
17301,Charged Off,10000,36 months,32000,21.3,12.1286,9879,43.9,debt_consolidation,RENT,0,1,15,5.2,default,1,debt_consolidation,RENT, > 1 Year,0.6
273,Charged Off,19075,60 months,41500,23.91,13.8807,12838,70.7,debt_consolidation,RENT,1,1,11,3.8,default,9,debt_consolidation,RENT, > 1 Year,0.5
37914,Fully Paid,20000,36 months,92000,10.47,8.16274,12626,38.7,small_business,OWN,1,1,10,6.8,paid off,1,small_business,OWN, > 1 Year,0.55
38343,Fully Paid,3700,36 months,25000,6.14,5.72352,1841,25.2,car,RENT,0,1,5,5.2,paid off,10,major_purchase,RENT, > 1 Year,0.6
32120,Fully Paid,35000,60 months,147500,27.17,7.62191,33377,70.0,debt_consolidation,MORTGAGE,1,1,18,2.2,paid off,1,debt_consolidation,MORTGAGE, > 1 Year,0.45
31689,Fully Paid,9600,36 months,54000,21.38,6.89978,4501,81.8,debt_consolidation,MORTGAGE,1,1,5,5.2,paid off,7,debt_consolidation,MORTGAGE, > 1 Year,0.4
41199,Fully Paid,8000,36 months,87000,8.32,3.57972,30481,66.3,debt_consolidation,RENT,1,1,11,5.6,paid off,4,debt_consolidation,RENT, > 1 Year,0.4
24576,Fully Paid,2400,36 months,70000,10.35,1.38617,9200,80.7,debt_consolidation,MORTGAGE,1,1,5,4.2,paid off,10,debt_consolidation,MORTGAGE, > 1 Year,0.35
20637,Charged Off,5000,36 months,36000,11.2,5.11733,225,0.8,debt_consolidation,RENT,1,1,9,6.4,default,3,debt_consolidation,RENT, > 1 Year,0.55
21916,Charged Off,22000,60 months,60000,14.68,11.2332,11688,47.9,debt_consolidation,RENT,1,0,10,3.6,default,11,debt_consolidation,RENT, > 1 Year,0.25
1139,Charged Off,14075,60 months,65000,18.39,6.04486,34069,57.8,debt_consolidation,MORTGAGE,1,1,12,4.6,default,11,debt_consolidation,MORTGAGE, > 1 Year,0.25
41950,Fully Paid,3000,36 months,19200,5.13,6.7025,1441,32.0,debt_consolidation,RENT,0,1,2,2.6,paid off,1,debt_consolidation,RENT, > 1 Year,0.65
39756,Fully Paid,7200,36 months,40200,1.91,6.72328,1612,3.2,debt_consolidation,MORTGAGE,1,1,9,7.0,paid off,11,debt_consolidation,MORTGAGE, > 1 Year,0.5
16980,Charged Off,23675,60 months,60000,31.82,12.6744,23102,70.4,credit_card,RENT,1,1,8,2.2,default,11,credit_card,RENT, > 1 Year,0.55
18876,Charged Off,7000,36 months,26500,10.1,10.1928,2335,47.7,debt_consolidation,MORTGAGE,1,1,6,5.2,default,6,debt_consolidation,MORTGAGE, > 1 Year,0.4
35341,Fully Paid,25000,36 months,143000,11.61,6.5374,22218,16.1,debt_consolidation,MORTGAGE,1,1,15,6.6,paid off,4,debt_consolidation,MORTGAGE, > 1 Year,0.35
25435,Fully Paid,16500,36 months,82000,12.19,8.14873,16083,69.8,debt_consolidation,RENT,1,1,10,5.8,paid off,11,debt_consolidation,RENT, > 1 Year,0.55
25138,Fully Paid,4600,36 months,64800,4.76,2.61556,0,0.0,car,RENT,1,1,6,6.4,paid off,11,major_purchase,RENT, > 1 Year,0.6
35366,Fully Paid,15000,36 months,50400,13.33,11.6502,8998,35.6,debt_consolidation,RENT,1,1,5,5.4,paid off,11,debt_consolidation,RENT, > 1 Year,0.7
16503,Charged Off,8800,36 months,32000,21.86,11.8099,5342,67.6,credit_card,RENT,1,1,19,5.0,default,1,credit_card,RENT, > 1 Year,0.5
6677,Charged Off,15000,36 months,49500,19.73,13.247,3787,36.1,debt_consolidation,RENT,0,1,15,3.4,default,4,debt_consolidation,RENT, > 1 Year,0.5
14716,Charged Off,35000,36 months,112000,19.85,12.833,23993,58.7,debt_consolidation,MORTGAGE,0,1,8,6.0,default,8,debt_consolidation,MORTGAGE, > 1 Year,0.3
12127,Charged Off,30000,60 months,70000,30.62,14.3419,15733,81.5,debt_consolidation,MORTGAGE,1,1,18,3.0,default,6,debt_consolidation,MORTGAGE, > 1 Year,0.45
31378,Fully Paid,7200,36 months,83000,5.54,3.26212,438,0.8,other,RENT,1,1,3,6.6,paid off,6,other,RENT, > 1 Year,0.55
17912,Charged Off,3000,36 months,65000,11.61,1.72597,2015,9.0,moving,OWN,1,0,13,6.6,default,1,other,OWN, > 1 Year,0.6
26917,Fully Paid,11200,36 months,66000,15.78,6.17582,5305,5.0,debt_consolidation,RENT,1,1,20,6.4,paid off,10,debt_consolidation,RENT, > 1 Year,0.6
14246,Charged Off,7200,36 months,70000,19.01,4.4928,5649,68.1,credit_card,RENT,1,0,20,3.4,default,0,credit_card,RENT, < 1 Year,0.6
6226,Charged Off,17325,60 months,39000,21.04,14.8446,3575,55.9,debt_consolidation,MORTGAGE,1,1,12,2.6,default,8,debt_consolidation,MORTGAGE, > 1 Year,0.35
17361,Charged Off,9600,36 months,75000,12.93,5.348,12562,89.1,debt_consolidation,RENT,1,1,6,4.4,default,3,debt_consolidation,RENT, > 1 Year,0.4
27534,Fully Paid,25000,36 months,80000,9.33,12.5794,15210,73.1,debt_consolidation,RENT,1,1,17,6.0,paid off,3,debt_consolidation,RENT, > 1 Year,0.5
38922,Fully Paid,5000,36 months,48000,28.95,3.93975,35717,37.2,home_improvement,OWN,1,1,24,7.0,paid off,0,home_improvement,OWN, < 1 Year,0.7
16471,Charged Off,25000,36 months,75000,16.9,13.4989,51275,82.0,medical,MORTGAGE,1,1,5,5.8,default,11,medical,MORTGAGE, > 1 Year,0.45
40211,Fully Paid,6125,36 months,75000,1.01,2.98896,0,0.0,car,MORTGAGE,1,1,15,6.6,paid off,8,major_purchase,MORTGAGE, > 1 Year,0.9
25739,Fully Paid,33000,36 months,133000,12.87,10.7627,33229,88.8,debt_consolidation,MORTGAGE,1,1,13,3.4,paid off,7,debt_consolidation,MORTGAGE, > 1 Year,0.4
36193,Fully Paid,4500,36 months,23421,13.53,8.33457,4980,99.6,debt_consolidation,RENT,0,1,3,2.2,paid off,4,debt_consolidation,RENT, > 1 Year,0.35
40773,Fully Paid,8000,36 months,78000,12.8,3.79985,6967,21.5,debt_consolidation,MORTGAGE,1,1,10,6.6,paid off,4,debt_consolidation,MORTGAGE, > 1 Year,0.55
43671,Fully Paid,8400,36 months,107000,8.46,3.0905,11810,67.1,credit_card,RENT,1,0,6,5.4,paid off,3,credit_card,RENT, > 1 Year,0.65
13904,Charged Off,7200,36 months,45000,31.41,6.38827,17956,50.3,debt_consolidation,RENT,1,1,15,5.6,default,0,debt_consolidation,RENT, < 1 Year,0.35
39838,Fully Paid,7000,36 months,28000,22.89,10.2039,5386,47.2,debt_consolidation,MORTGAGE,1,1,10,4.6,paid off,5,debt_consolidation,MORTGAGE, > 1 Year,0.5
40534,Fully Paid,14000,36 months,65000,19.81,8.97249,20327,92.4,debt_consolidation,MORTGAGE,1,1,11,4.4,paid off,11,debt_consolidation,MORTGAGE, > 1 Year,0.6
34303,Fully Paid,35000,36 months,149857,5.89,10.3758,22634,97.1,debt_consolidation,MORTGAGE,1,1,12,4.0,paid off,11,debt_consolidation,MORTGAGE, > 1 Year,0.6
10140,Charged Off,11000,36 months,40000,22.71,11.6493,8337,85.9,debt_consolidation,RENT,0,1,4,4.8,default,3,debt_consolidation,RENT, > 1 Year,0.55
42950,Fully Paid,2400,36 months,20713,10.66,5.04437,3943,39.0,home_improvement,MORTGAGE,1,1,9,3.4,paid off,6,home_improvement,MORTGAGE, > 1 Year,0.6
