Importe,añosPago,IngresoAnuales,RelacionIngresoDeuda,RelacionCuotaDeuda,PendienteEnTarjeta,UsoCreditoTarjeta,Objetivo,esPropietario,FueVeraz,TuvoEmbargo,Cuentas,PuntuacionGeneral,Default,AntiguedadLaboral
10000,3,45000,11.41,8.6864,15606,88.0,Deuda,Alquiler,0,0,7,5.4,paid off,5
5000,3,69500,9.65,3.01865,2704,64.4,Deuda,Hipoteca,0,1,6,5.0,paid off,11
6000,3,126000,14.33,1.86133,20607,50.0,Inversion,Hipoteca,1,1,16,5.4,default,6
30750,3,69000,24.3,20.011,8627,45.6,Deuda,Alquiler,0,0,13,2.2,default,9
15000,3,50000,21.43,13.5631,13419,83.9,Deuda,Hipoteca,0,0,11,2.4,paid off,11
20000,5,105000,13.88,6.37417,24817,88.1,Deuda,Hipoteca,1,0,9,3.0,default,7
12000,3,90000,14.09,5.5192,34150,79.4,Deuda,Alquiler,0,1,11,4.6,default,11
12000,5,31000,18.39,10.9196,996,18.1,No declara,Hipoteca,0,0,6,3.4,default,0
10000,3,55000,7.58,7.46662,11878,87.3,Deuda renovable,Hipoteca,0,0,6,6.0,paid off,7
15500,3,50000,17.96,13.5403,19245,72.3,Deuda,Hipoteca,0,0,9,3.4,default,5
15000,3,100000,2.32,5.922,4929,33.5,Negocio,Hipoteca,1,0,12,4.4,paid off,6
35000,3,160000,16.17,9.2664,81823,79.3,Deuda,Hipoteca,0,0,12,5.0,default,11
8000,3,42000,4.51,6.95686,6737,11.6,Deuda,Hipoteca,0,0,9,6.2,paid off,11
6000,3,55000,19.05,4.452,15119,77.9,Deuda,Hipoteca,0,0,10,4.2,paid off,11
20000,5,50000,29.96,13.3118,16066,92.9,Deuda,Propio,0,0,15,2.8,default,4
24500,5,60000,7.46,13.2976,13286,92.9,Deuda,Alquiler,0,0,4,2.4,paid off,2
12000,3,150000,17.98,3.23416,94424,85.2,Negocio,Hipoteca,0,0,16,4.2,paid off,11
35000,3,110000,32.38,13.4011,27078,62.8,Deuda,Hipoteca,0,0,17,4.8,paid off,11
14875,3,60000,16.68,9.7596,22174,72.2,Deuda renovable,Hipoteca,0,0,17,5.4,default,6
12000,3,48000,3.8,10.3265,4554,44.6,Deuda,Alquiler,0,0,8,2.4,paid off,1
6000,5,42000,24.77,4.56114,39159,96.9,Deuda,Hipoteca,0,0,8,4.0,default,3
23675,5,92000,18.93,8.01913,32793,72.2,Deuda renovable,Hipoteca,0,0,11,3.8,default,9
10000,3,53000,13.22,7.30483,16009,56.0,Deuda,Alquiler,0,0,11,5.2,paid off,9
9000,3,88800,19.34,4.20541,38329,77.3,No declara,Hipoteca,0,0,15,2.6,default,1
2225,3,32000,22.46,3.048,16547,59.1,Deuda renovable,Hipoteca,1,0,8,3.6,default,3
20000,3,68000,17.89,12.804,13570,73.1,Deuda,Alquiler,0,0,11,4.0,default,11
6000,3,42000,15.17,5.29114,4487,19.9,Deuda,Alquiler,0,0,8,6.4,paid off,7
25000,3,90111,20.27,10.3576,27002,46.8,Deuda,Hipoteca,0,0,12,6.6,default,6
13000,3,57000,22.53,9.52905,12368,85.9,Deuda,Alquiler,0,0,14,4.4,paid off,7
15000,3,133000,22.69,4.29744,47605,97.2,Deuda,Hipoteca,0,0,10,7.0,default,11
15000,5,50000,18.36,9.48192,12223,57.7,Deuda,Propio,0,0,8,4.0,default,7
35000,5,425000,2.55,2.36713,5544,11.9,Evento,Hipoteca,0,0,6,4.4,paid off,7
18000,3,80000,8.57,8.29005,12536,24.2,Deuda renovable,Alquiler,0,0,10,6.4,paid off,6
12000,3,40000,18.92,12.5343,10086,86.2,Hipoteca,Alquiler,0,0,8,4.4,default,2
6000,3,50000,10.46,4.92096,10619,70.8,Deuda renovable,Alquiler,1,0,16,4.2,default,4
14000,5,45000,13.49,8.4928,2830,57.8,Deuda,Alquiler,1,0,11,4.2,default,2
35000,5,120000,21.77,9.6607,13596,83.4,Deuda,Hipoteca,1,0,9,3.0,default,1
8400,3,55000,12.68,5.62735,3451,13.2,Deuda,Hipoteca,0,0,7,6.4,paid off,11
2400,3,31000,20.59,3.02632,7416,93.9,Bien de Capital,Hipoteca,0,1,6,5.4,default,11
5375,3,20000,12.98,10.7304,4405,21.5,Compra,Alquiler,0,0,9,5.6,paid off,4
12000,5,80000,10.53,5.15325,13816,90.9,Deuda,Alquiler,0,0,9,1.8,default,2
10000,3,130000,24.62,2.80948,10917,26.1,Inversion,Hipoteca,0,0,18,6.2,paid off,11
9000,3,55029,11.88,6.12702,8805,8.4,Deuda,Alquiler,1,0,8,6.6,default,2
18300,5,112000,23.36,5.82075,26488,52.5,Mudanza,Alquiler,0,0,20,2.0,default,9
14400,3,73500,16.63,8.18563,7104,79.8,Deuda renovable,Hipoteca,0,0,8,4.4,default,10
10000,3,109000,12.85,3.77879,11993,39.1,No declara,Hipoteca,0,0,18,4.2,default,10
30000,5,80000,13.73,11.3709,62505,68.1,Deuda,Hipoteca,1,0,12,3.2,default,11
11625,3,60000,33.02,8.1512,7564,92.2,Deuda,Alquiler,0,0,12,4.6,default,3
15875,5,145000,11.67,3.16775,7698,25.5,Deuda,Propio,0,0,11,5.0,default,4
20000,3,150000,13.43,4.98584,28005,30.4,Deuda,Hipoteca,0,0,20,6.6,paid off,11
25000,5,56000,22.26,12.0118,8893,42.3,Deuda,Hipoteca,0,0,11,5.8,paid off,4
6500,3,42500,13.16,6.42099,1542,90.7,Otros,Alquiler,0,0,6,3.8,default,5
1200,3,48000,17.75,1.01075,6603,82.5,Inversion,Hipoteca,1,0,21,4.6,default,3
16000,3,51000,10.24,12.8652,5630,31.5,Negocio,Hipoteca,0,0,12,4.2,default,11
2850,3,114996,22.71,0.938746,44107,83.9,Deuda,Hipoteca,0,0,10,7.0,paid off,3
9300,3,40000,31.92,9.7554,8476,38.0,Deuda,Alquiler,0,0,13,3.2,paid off,11
12000,5,105000,7.92,3.26194,297,1.1,Deuda,Hipoteca,0,1,11,5.0,paid off,4
12500,3,48000,8.13,10.3975,14809,75.2,Deuda renovable,Hipoteca,0,0,9,5.6,paid off,11
9000,3,26400,15.86,13.4886,12689,34.5,Negocio,Alquiler,1,0,9,5.8,default,4
26375,5,60000,22.9,14.4136,29858,64.5,Deuda renovable,Hipoteca,0,0,12,2.4,default,11
8500,3,75000,16.51,4.90112,26255,79.1,No declara,Hipoteca,1,0,10,3.2,default,1
4000,5,24000,2.6,4.682,0,0.0,Bien de Capital,Alquiler,0,0,5,4.4,default,5
21000,3,119279,27.47,7.12974,20950,63.9,Deuda,Hipoteca,0,1,13,5.8,paid off,9
10075,3,65520,23.96,5.92912,25335,60.5,Deuda,Hipoteca,1,0,11,5.2,default,10
5000,3,48000,0.4,3.91025,526,2.4,Inversion,Hipoteca,0,0,8,7.0,paid off,9
20000,3,78000,19.68,10.366,21547,64.7,Deuda,Hipoteca,0,0,13,5.8,paid off,11
7850,3,58000,17.17,5.99628,14635,59.0,Deuda,Alquiler,0,0,14,2.4,paid off,5
10000,3,84000,27.57,4.90557,43220,47.1,Deuda,Hipoteca,0,0,20,4.2,paid off,11
1000,3,20000,0.9,2.3214,406,81.2,No declara,Alquiler,0,0,10,1.2,default,0
1800,3,24780,6.3,2.76804,30935,48.7,Bien de Capital,Hipoteca,0,0,9,7.0,paid off,2
12000,3,85000,4.07,5.46565,7459,25.1,Deuda,Hipoteca,0,1,9,5.2,default,11
30000,5,70000,13.05,14.0554,35544,65.8,Deuda,Alquiler,0,0,18,2.6,paid off,1
10625,3,32000,16.31,14.3167,15987,65.5,Deuda,Hipoteca,0,0,8,3.2,default,0
3000,3,43200,0.78,2.71333,706,11.2,No declara,Alquiler,0,0,4,5.6,default,5
4200,3,48000,24.23,3.70675,8010,74.2,Deuda,Hipoteca,0,0,22,4.8,paid off,11
11200,3,56000,7.72,7.85636,4062,27.1,Deuda,Hipoteca,1,0,6,5.6,default,11
8500,3,51000,1.98,7.06024,2484,38.8,Deuda,Alquiler,0,1,4,4.8,default,10
10200,3,90000,5.48,4.31853,10969,59.3,Deuda,Alquiler,0,0,9,7.0,paid off,2
35000,5,128000,20.12,9.78544,28222,90.7,Deuda,Alquiler,0,0,18,0.2,default,1
10050,5,30000,13.48,11.682,12515,81.8,Deuda,Alquiler,0,0,7,1.6,default,11
14075,3,102000,18.67,5.56741,9475,34.2,Deuda renovable,Hipoteca,1,0,7,5.8,paid off,0
4000,3,70000,17.21,2.34669,4902,66.2,Deuda,Hipoteca,0,0,10,6.0,default,11
10000,3,45000,10.11,8.29627,394,3.6,No declara,Alquiler,0,0,6,6.6,paid off,6
1000,3,50000,14.2,0.82392,49,0.5,Deuda renovable,Propio,1,0,6,4.2,paid off,2
7000,3,48000,5.33,5.884,4762,14.1,Deuda renovable,Propio,0,1,12,5.8,paid off,4
1800,3,51000,16.64,1.39647,26267,95.9,Deuda,Hipoteca,0,0,11,5.8,paid off,11
18000,3,130000,11.18,5.19905,37895,54.5,Deuda,Hipoteca,1,0,15,6.8,paid off,3
10000,3,46000,15.47,8.80983,4351,33.7,Deuda,Alquiler,0,0,12,4.6,default,2
18000,3,47592,32.48,15.2902,9478,31.9,Deuda,Hipoteca,0,0,14,5.8,default,1
7700,3,57000,9.81,4.93389,7722,32.2,Deuda renovable,Hipoteca,0,0,8,6.2,paid off,1
10375,3,45000,35.27,9.3208,13904,85.3,Deuda renovable,Alquiler,0,0,11,4.2,default,10
6000,3,52000,21.72,4.63385,4742,36.8,Compra,Alquiler,0,0,7,6.0,paid off,2
20000,3,101004,16.93,8.54034,18606,67.5,No declara,Alquiler,1,0,6,1.4,paid off,3
20050,5,75000,29.91,9.56704,16906,84.1,Deuda,Hipoteca,1,0,16,0.2,default,11
11975,5,30000,17.72,12.4048,7702,36.7,Deuda,Alquiler,1,0,10,3.8,default,3
3500,3,45000,2.0,3.38613,1331,88.7,Bien de Capital,Alquiler,0,1,3,3.6,paid off,5
10000,3,65000,17.35,6.05372,4201,27.2,Inversion,Hipoteca,0,0,13,6.0,paid off,3
15000,3,74000,21.73,8.35265,43468,94.5,Deuda,Hipoteca,0,0,7,4.2,paid off,11
26375,5,95000,11.15,8.0664,92563,23.5,Deuda,Hipoteca,0,0,16,4.6,default,11
8000,3,36500,14.79,8.62455,10895,51.6,Deuda renovable,Alquiler,0,0,7,6.0,default,4
5000,3,128000,16.08,1.56216,94382,95.5,Otros,Hipoteca,0,0,8,4.2,default,6
10000,3,45600,20.08,9.22605,9650,90.2,Deuda,Alquiler,0,0,9,4.6,default,4
15000,3,65000,18.8,9.21378,9833,80.6,Deuda renovable,Hipoteca,0,0,11,5.6,default,7
14000,5,99000,13.47,4.19648,12318,91.9,Deuda,Alquiler,0,0,3,3.4,paid off,4
20000,3,40000,19.32,20.2482,20097,85.2,Negocio,Propio,0,0,7,5.8,default,7
14400,3,61000,28.54,9.1619,4292,35.2,Deuda,Hipoteca,0,0,12,5.2,paid off,10
8000,3,96000,16.89,3.449,10899,31.6,Inversion,Hipoteca,0,0,11,4.6,paid off,0
14000,3,105000,14.93,5.44366,5981,66.5,Deuda,Hipoteca,0,1,6,4.2,paid off,3
21000,5,150000,9.22,4.22784,35615,94.2,Evento,Alquiler,0,0,5,3.8,default,11
10000,3,55000,2.18,6.58036,2190,15.8,Inversion,Alquiler,0,0,11,6.2,paid off,1
20000,3,130000,12.5,6.01357,43183,59.3,Deuda renovable,Hipoteca,0,0,13,5.4,paid off,6
13500,3,57900,9.49,9.35876,9813,64.6,Deuda renovable,Alquiler,0,0,5,6.0,paid off,5
6000,3,48600,17.33,4.91086,6815,67.5,No declara,Hipoteca,0,0,9,6.0,paid off,6
24000,3,600000,7.09,1.74576,58222,39.0,Compra,Propio,0,0,9,1.4,default,5
16000,3,59000,25.95,10.3334,33428,30.8,Deuda,Hipoteca,1,0,16,7.0,default,8
14300,3,48000,12.25,12.276,5479,33.8,Inversion,Hipoteca,0,0,18,4.2,default,3
32875,3,73759,18.21,21.2629,18956,95.7,Deuda,Propio,0,0,7,1.8,default,6
8000,3,30000,22.28,11.6092,8180,95.1,Deuda,Alquiler,0,0,5,3.4,default,2
13000,5,50000,14.02,8.6136,7431,50.2,Deuda,Propio,1,0,12,2.8,default,9
8600,3,70000,3.22,4.93131,7175,20.0,Deuda renovable,Hipoteca,1,0,8,5.8,paid off,5
5500,3,12000,11.7,17.841,194,1.8,Otros,Alquiler,0,0,5,6.0,default,6
23500,5,75000,3.0,10.7362,10289,57.2,Negocio,Propio,0,0,6,1.6,default,11
2600,3,9600,1.25,10.9025,410,2.3,Deuda,Alquiler,1,0,17,6.0,paid off,2
4000,3,50000,14.09,3.04848,3974,18.0,No declara,Alquiler,1,0,14,7.0,default,11
5000,3,42000,16.23,4.65343,18468,81.7,Bien de Capital,Propio,0,0,8,5.4,default,11
1000,5,44564,19.01,0.535051,464,4.4,No declara,Alquiler,0,0,11,6.6,paid off,2
13750,5,27600,2.91,13.1448,2038,37.1,Deuda renovable,Hipoteca,0,0,8,5.8,default,7
35000,5,95000,6.99,11.9332,6976,36.0,Evento,Propio,0,0,12,1.2,default,1
16000,5,85000,15.6,6.29661,15920,35.2,Negocio,Alquiler,1,0,16,1.2,default,5
9450,3,85000,22.56,4.5792,9014,40.6,Deuda,Hipoteca,1,0,14,4.2,paid off,5
15000,3,45000,14.51,13.3261,5786,48.6,Inversion,Alquiler,0,1,10,6.0,default,2
24000,5,55000,32.65,13.8703,8310,92.3,Deuda,Hipoteca,0,0,20,2.2,default,4
12000,3,70000,8.4,7.05789,11546,86.2,No declara,Hipoteca,0,0,7,4.4,default,9
12000,3,35000,15.7,14.1278,18459,70.5,Deuda,Hipoteca,0,0,10,4.2,default,9
18000,3,41000,27.62,18.9855,39486,94.2,Deuda renovable,Alquiler,0,0,8,3.2,default,9
6500,3,34000,33.1,7.87765,4063,90.3,Deuda,Alquiler,0,0,7,4.2,paid off,8
8000,3,42000,13.77,7.34429,4119,34.0,Deuda,Alquiler,0,0,4,5.2,default,0
35000,5,89000,10.82,13.1601,5036,46.6,Deuda,Alquiler,0,0,9,3.0,default,9
18550,5,54000,23.27,11.9789,13618,59.5,No declara,Hipoteca,0,0,13,1.6,default,7
9275,3,56000,23.77,6.42814,7852,39.9,Deuda,Hipoteca,0,0,15,5.2,default,2
5500,3,31500,31.21,7.19467,13004,89.1,Deuda,Alquiler,0,0,7,4.2,paid off,0
16000,5,39996,18.69,10.7345,24690,61.9,Deuda,Hipoteca,0,0,11,4.2,default,8
6000,5,21624,23.75,6.89567,3539,21.3,No declara,Alquiler,0,0,15,7.0,default,9
10000,3,72000,4.18,5.64383,6336,99.0,Deuda,Alquiler,0,0,5,4.4,paid off,8
17250,5,45000,20.4,11.0184,15247,56.9,Deuda,Alquiler,0,0,8,4.4,default,3
20000,3,100000,16.31,7.47876,30623,57.3,Deuda,Hipoteca,0,0,15,6.6,paid off,9
6000,3,37500,22.3,6.33056,10909,54.5,Deuda,Propio,0,0,11,5.8,paid off,6
14950,5,56000,17.91,7.50921,17378,37.5,Deuda renovable,Hipoteca,0,0,13,4.4,default,8
3200,3,75000,16.3,1.728,11922,80.6,Mudanza,Propio,0,0,7,5.8,paid off,1
28000,3,225000,8.99,4.65344,6531,12.4,Deuda,Hipoteca,0,0,13,6.6,paid off,11
8400,3,27000,7.56,11.4631,848,4.8,Deuda,Hipoteca,0,0,10,6.4,default,0
10000,3,45000,17.51,8.18773,13138,34.5,Deuda,Alquiler,0,0,9,6.4,paid off,7
21000,3,106000,4.2,7.90992,10090,51.0,Inversion,Hipoteca,1,0,10,5.6,paid off,3
30000,3,124000,12.73,10.4625,11357,66.0,Deuda,Alquiler,0,0,17,3.2,paid off,6
7000,3,38000,12.13,7.62505,7505,85.3,Otros,Alquiler,0,0,4,4.6,default,3
3200,3,40800,0.56,3.22676,502,7.7,Inversion,Hipoteca,1,0,4,5.0,paid off,11
24200,3,65000,17.45,13.5977,28154,20.8,Deuda renovable,Hipoteca,0,0,24,6.2,paid off,11
8875,3,26101,10.9,14.404,10115,26.2,Deuda,Alquiler,0,0,7,4.8,default,6
12300,3,43126,21.47,12.6706,12233,28.4,Negocio,Hipoteca,0,0,16,4.0,default,7
20000,5,45000,11.07,12.2693,13566,41.2,Deuda,Hipoteca,0,0,10,4.4,paid off,11
18000,3,70000,20.62,10.1229,16601,27.4,Deuda,Alquiler,0,0,13,5.4,default,5
14550,3,45000,15.6,12.8336,17588,93.1,Deuda renovable,Hipoteca,0,0,4,5.6,paid off,11
20500,3,47000,27.99,19.0514,5561,40.9,Deuda,Alquiler,0,0,8,3.4,default,8
35000,5,115000,10.46,9.83937,8565,33.7,Deuda,Hipoteca,0,0,12,2.2,default,11
11975,5,40000,27.22,10.2165,16726,84.5,Deuda,Alquiler,0,0,8,1.2,paid off,3
24000,3,113772,25.03,9.88229,17683,69.9,Deuda renovable,Hipoteca,1,0,13,1.6,paid off,11
18000,5,70000,16.87,8.89131,9866,64.9,Deuda,Propio,0,0,5,1.4,paid off,2
16000,3,65000,17.48,10.6449,38887,84.7,Deuda,Hipoteca,0,0,10,3.2,paid off,11
1525,3,46680,22.19,1.40308,18668,25.9,Inversion,Hipoteca,0,0,26,3.2,paid off,4
6000,3,68000,29.81,3.31324,11489,36.7,Inversion,Hipoteca,0,0,15,6.8,paid off,6
15000,3,85000,15.12,6.80033,7047,11.3,Deuda,Hipoteca,0,0,23,5.2,paid off,2
6400,3,145000,14.23,1.7376,2457,74.5,Deuda,Alquiler,0,0,5,5.4,paid off,1
22500,3,68000,22.32,13.3881,25893,82.8,Deuda,Hipoteca,0,0,19,6.0,default,11
4800,3,77350,16.93,2.53761,19146,33.9,Deuda renovable,Hipoteca,0,0,16,5.0,paid off,3
16000,3,35000,11.79,17.0667,15748,52.0,Deuda renovable,Propio,0,0,6,6.6,paid off,11
16000,3,100000,12.7,6.53148,20792,52.9,Deuda,Hipoteca,0,0,11,6.0,paid off,3
21250,3,56000,21.69,15.9979,26066,36.8,Deuda renovable,Alquiler,0,0,24,3.8,paid off,11
2400,3,70000,0.93,1.44651,2024,14.6,Negocio,Alquiler,0,0,6,2.4,paid off,3
17500,5,40000,29.61,15.3759,29781,77.8,Deuda renovable,Alquiler,0,0,15,1.8,default,2
15600,3,70000,24.89,9.23623,67901,79.6,Deuda renovable,Hipoteca,0,0,14,3.6,default,11
28000,5,94000,33.77,8.84132,14595,57.7,Deuda,Hipoteca,1,0,10,5.0,default,11
22750,5,34000,21.56,18.2654,34683,55.5,Deuda,Hipoteca,0,0,11,4.2,default,8
9975,3,83200,20.16,4.85178,22564,32.7,Deuda,Alquiler,0,0,13,4.4,paid off,11
20000,3,55000,17.61,14.5187,25755,58.3,Deuda,Alquiler,1,0,10,5.6,default,7
8000,3,85200,9.49,3.42944,0,0.0,No declara,Hipoteca,0,0,9,6.2,paid off,11
11700,3,35000,13.23,13.2377,11844,63.0,Deuda,Hipoteca,0,0,10,5.6,paid off,11
4800,3,75000,19.94,2.67024,20268,90.5,No declara,Alquiler,0,0,12,3.4,default,3
8400,3,28000,9.93,11.5757,3555,17.9,Deuda renovable,Propio,0,0,10,5.2,default,0
7500,3,30000,14.8,9.1308,11760,54.2,Deuda renovable,Alquiler,0,0,7,6.2,paid off,0
2200,3,60000,14.07,1.5462,3085,61.7,Deuda,Alquiler,0,0,5,5.0,paid off,3
5875,3,29000,10.3,7.97503,6403,40.3,Deuda,Alquiler,0,0,5,5.4,default,2
7750,3,26000,17.54,12.0794,4034,67.2,Deuda renovable,Alquiler,0,0,5,4.6,paid off,5
19975,3,100000,6.26,8.46156,21399,51.1,Deuda renovable,Alquiler,0,0,13,4.8,paid off,4
23000,5,120000,15.6,6.6274,31573,81.0,Deuda,Alquiler,0,0,12,1.4,default,11
4000,5,48000,19.15,2.5745,16543,63.4,Deuda,Alquiler,0,0,9,2.2,default,7
6000,3,47000,20.07,4.77651,17800,51.1,Deuda,Hipoteca,0,0,9,7.0,paid off,5
20000,3,92700,14.8,8.73709,15226,60.7,Deuda,Alquiler,0,0,12,5.8,paid off,5
30000,3,118000,19.17,9.95064,16713,36.9,Deuda,Hipoteca,0,0,19,5.4,default,11
28000,3,100000,21.96,11.4984,15917,68.6,Deuda,Hipoteca,1,0,14,6.0,default,11
7500,3,70000,10.41,4.6644,22616,97.5,Inversion,Propio,0,0,9,4.0,paid off,8
12000,3,150000,5.81,2.89536,17613,27.1,Deuda,Hipoteca,0,0,12,6.2,paid off,11
3000,3,96000,3.67,1.2365,10917,55.7,Inversion,Hipoteca,0,0,6,5.8,paid off,5
19075,3,43118,28.75,19.3926,3343,60.8,Deuda,Propio,1,0,13,3.6,default,0
4750,3,16000,17.1,13.068,6844,56.6,Deuda,Alquiler,0,0,5,3.8,default,1
1000,3,14400,15.67,2.95833,2924,81.2,Deuda renovable,Alquiler,0,0,3,2.6,default,3
22000,3,68000,14.98,12.1481,10239,50.7,Deuda,Alquiler,0,0,7,6.8,paid off,1
10000,5,75000,17.68,3.82336,17512,68.7,Evento,Hipoteca,0,0,13,3.8,default,6
8825,3,62556,27.37,5.7934,7355,40.2,Deuda renovable,Hipoteca,1,0,9,6.0,default,11
12750,3,60000,19.52,8.881,33074,68.8,Deuda renovable,Alquiler,0,0,9,1.4,paid off,2
13000,3,28000,16.93,17.4334,14078,66.1,Deuda renovable,Alquiler,0,0,7,6.8,default,11
2000,3,38400,17.94,2.14688,11651,80.4,Deuda,Alquiler,1,0,10,4.8,default,2
5600,3,40000,19.34,6.0543,7253,27.0,Deuda,Alquiler,1,0,23,3.2,default,1
12000,3,60000,6.3,8.0198,8894,78.7,Bien de Capital,Alquiler,0,0,8,5.8,default,1
12000,3,130000,6.61,3.50151,11867,21.4,Inversion,Hipoteca,0,0,11,6.8,paid off,1
10000,3,182500,15.11,2.3854,39523,95.5,Deuda,Hipoteca,0,0,18,3.4,paid off,8
5200,3,58000,8.46,3.27455,1103,13.5,Deuda,Hipoteca,0,0,9,6.2,default,11
