Importe,añosPago,IngresoAnuales,RelacionIngresoDeuda,RelacionCuotaDeuda,PendienteEnTarjeta,UsoCreditoTarjeta,Objetivo,esPropietario,FueVeraz,TuvoEmbargo,Cuentas,PuntuacionGeneral,Default,AntiguedadLaboral
8000,3,27000,7.16,11.6591,5472,84.2,Deuda,Alquiler,0,0,4,6.0,paid off,1
10000,3,76500,8.93,4.84141,13037,24.4,Deuda renovable,Alquiler,0,0,7,6.4,paid off,2
6200,3,55000,13.7,4.15353,5600,30.8,Deuda,Hipoteca,0,0,9,6.4,paid off,11
10000,3,104000,10.95,4.04527,16173,32.5,Deuda,Hipoteca,0,0,22,4.6,paid off,10
6500,3,42000,14.89,6.316,13009,96.4,Inversion,Hipoteca,0,0,5,4.2,default,3
20950,5,48500,14.87,12.5723,11621,84.2,Deuda,Alquiler,1,0,7,4.8,default,4
7800,3,40320,9.23,7.36935,5542,49.5,Deuda,Alquiler,0,0,4,5.2,paid off,7
22275,5,67500,4.11,8.80693,0,0.0,Compra,Hipoteca,0,0,5,5.6,default,3
15000,3,45000,14.85,13.3088,12568,50.7,Deuda,Hipoteca,0,0,13,5.6,paid off,11
15000,5,38000,9.6,11.1032,12427,78.7,Deuda renovable,Hipoteca,0,1,8,4.2,default,11
13000,3,55332,17.26,10.3418,9901,57.9,Deuda renovable,Alquiler,0,0,16,3.8,default,6
12000,5,82000,2.37,4.12815,6056,94.6,Deuda,Hipoteca,0,0,2,3.4,default,11
26000,5,52000,17.95,14.3624,9775,26.1,Deuda,Propio,0,0,20,3.6,paid off,10
9000,3,75000,25.67,5.17424,25012,98.0,Deuda,Alquiler,0,0,9,3.2,default,5
4950,3,17500,6.03,12.3998,3719,38.7,No declara,Alquiler,0,0,5,3.6,paid off,3
16000,3,88000,25.87,8.07736,17457,75.9,Deuda renovable,Hipoteca,0,0,17,4.0,default,11
12375,3,47000,4.72,11.077,6745,71.8,Deuda,Alquiler,0,0,5,4.6,paid off,8
2500,3,18000,4.67,2.828,1157,0.0,No declara,Alquiler,0,0,4,3.6,default,1
15000,3,82000,13.07,7.40166,14020,58.2,Deuda renovable,Alquiler,0,0,10,6.0,paid off,2
6000,3,80000,19.42,2.99445,28989,76.1,Deuda,Hipoteca,0,0,10,5.6,default,11
24000,5,85000,14.15,9.67468,23168,96.9,Deuda,Alquiler,0,0,7,1.6,default,1
9025,3,78500,16.83,4.31694,2528,15.6,Deuda renovable,Hipoteca,0,0,9,6.8,paid off,4
4500,3,39000,14.34,4.53262,2592,69.0,No declara,Alquiler,0,0,5,5.8,default,3
12500,3,50000,8.33,9.9816,14595,52.1,Deuda,Alquiler,0,0,8,5.6,paid off,6
3200,3,96000,12.48,1.2465,37214,86.9,Compra,Hipoteca,0,0,7,6.6,paid off,11
18000,5,92000,7.87,6.65648,1558,43.3,Deuda,Alquiler,0,0,9,1.4,default,5
13250,3,40000,19.23,12.8562,1996,12.6,Deuda,Hipoteca,1,0,12,5.2,default,8
8075,3,50000,29.54,6.02928,7944,49.6,Deuda,Hipoteca,0,0,18,6.6,paid off,4
7200,3,48000,28.9,6.16,8833,64.0,Deuda,Alquiler,0,0,8,6.0,paid off,1
11300,3,47279,21.88,9.89336,8817,72.3,Deuda,Hipoteca,0,0,8,4.6,paid off,0
7000,3,40000,18.42,6.942,17827,60.0,Deuda,Hipoteca,0,0,12,5.8,paid off,11
6400,3,31200,20.38,8.19,10018,60.7,Bien de Capital,Alquiler,0,0,15,5.6,default,1
5000,3,22724,22.76,9.03802,362,8.4,Deuda,Propio,0,0,5,3.2,default,4
12000,5,34000,13.41,10.9938,10928,49.4,Deuda,Hipoteca,0,0,6,2.4,default,8
19000,5,38000,10.96,13.9579,23004,57.7,No declara,Hipoteca,0,0,9,4.2,default,5
5400,3,38000,8.84,5.85568,4917,35.1,Deuda,Alquiler,0,0,6,4.2,paid off,6
21250,5,48000,33.3,14.0663,20558,94.7,Deuda renovable,Hipoteca,0,0,8,4.0,default,11
21400,5,48714,31.37,14.5538,14481,63.2,Deuda,Alquiler,0,0,9,2.8,default,7
2000,3,52800,19.11,1.57568,3062,31.6,Deuda,Hipoteca,0,1,11,5.0,paid off,7
23400,3,66960,15.66,13.0427,2086,20.1,Deuda,Alquiler,0,0,6,6.8,paid off,2
16000,5,65000,9.62,8.51151,7676,87.2,Bien de Capital,Alquiler,1,0,6,1.4,default,2
14000,3,75000,16.54,7.24272,14214,39.4,Deuda,Hipoteca,0,0,10,5.8,default,1
26400,3,95370,11.73,11.3516,20370,44.2,Deuda,Alquiler,0,0,12,4.2,paid off,7
12000,3,54000,7.88,8.902,13862,48.1,Deuda renovable,Alquiler,0,0,10,5.8,default,11
5000,3,26000,33.05,8.09954,10437,85.5,Deuda renovable,Alquiler,0,0,12,4.8,default,6
6000,3,38004,0.0,6.63309,0,0.0,Deuda,Alquiler,0,0,4,3.8,paid off,2
25000,3,125000,17.97,8.74301,42085,84.3,Deuda,Hipoteca,0,0,12,3.4,paid off,9
30000,5,64512,19.35,13.8358,34425,67.8,Deuda,Alquiler,0,0,18,3.8,default,1
9300,3,51380,7.35,6.66913,1556,8.1,Negocio,Hipoteca,0,0,11,6.4,default,11
25475,3,58000,28.45,18.0987,23225,89.3,Deuda,Alquiler,0,0,12,4.2,default,8
1800,3,16065,25.93,4.12848,6480,13.5,Deuda renovable,Alquiler,0,0,10,6.4,paid off,1
18000,5,105000,18.71,5.2856,40740,68.3,Deuda,Hipoteca,0,0,20,3.8,paid off,11
2500,3,28000,8.66,3.40243,6158,43.4,Deuda renovable,Alquiler,0,0,6,7.0,default,3
20000,5,98000,8.35,5.46257,18937,16.2,Deuda,Alquiler,0,1,40,5.6,paid off,5
5000,3,60000,1.34,3.0328,4818,13.8,Compra,Alquiler,0,0,5,6.4,paid off,3
20000,5,100000,9.65,5.93508,52068,37.6,Negocio,Alquiler,0,0,4,2.4,default,7
3000,3,65000,5.02,1.73317,8253,67.1,Deuda renovable,Alquiler,0,0,5,6.8,default,11
6000,3,50000,26.95,4.79112,26833,88.0,Deuda,Alquiler,0,0,8,5.6,paid off,5
7200,3,28000,13.8,10.8184,7668,36.9,Deuda renovable,Alquiler,0,0,12,4.6,paid off,4
12000,3,56600,6.51,8.25498,8717,28.7,Inversion,Propio,0,0,8,5.2,default,4
10150,3,69000,23.92,5.86226,31596,75.2,Deuda renovable,Alquiler,0,0,11,6.0,paid off,7
18000,3,75000,17.77,9.14496,45997,85.8,Deuda renovable,Hipoteca,0,0,10,7.0,paid off,4
14825,3,55000,17.63,10.9156,6108,84.8,Deuda,Hipoteca,0,1,9,5.8,paid off,8
16000,5,75000,29.97,7.13904,33186,76.5,Deuda,Hipoteca,0,0,20,3.0,default,6
2400,5,21600,12.5,3.00722,1532,51.1,No declara,Hipoteca,0,0,5,4.4,default,6
12000,3,60000,11.9,7.786,15917,84.2,Deuda renovable,Alquiler,1,0,7,5.6,paid off,3
19750,5,45000,25.01,13.2512,11412,79.8,Deuda renovable,Alquiler,0,1,7,3.8,default,6
13800,3,72000,6.93,8.4135,11639,50.8,Deuda,Hipoteca,0,0,9,3.6,default,11
3500,3,68160,16.36,2.14243,482,25.4,Compra,Alquiler,1,0,7,3.4,default,11
12000,3,102000,14.93,4.84365,20778,87.3,Deuda renovable,Hipoteca,0,0,12,4.4,paid off,11
12025,5,42000,29.2,9.10086,9016,65.8,Deuda,Alquiler,1,0,15,2.2,default,1
9750,3,35000,29.59,11.639,8221,50.4,Deuda,Hipoteca,0,0,13,4.4,default,11
30000,5,94450,13.47,9.63125,20923,33.9,No declara,Hipoteca,0,0,14,3.2,default,4
2000,3,80000,18.06,1.01595,11687,77.9,Inversion,Hipoteca,1,0,5,4.4,paid off,11
20000,3,92500,12.7,8.11862,23669,54.3,Deuda renovable,Hipoteca,1,0,9,6.8,paid off,3
7000,5,47138,12.83,4.09402,6918,55.8,Deuda,Hipoteca,1,0,6,4.6,default,11
10600,3,36000,13.26,11.66,7182,64.1,Deuda,Alquiler,0,0,6,5.6,paid off,3
25275,5,55000,20.08,13.4956,23292,68.1,Deuda renovable,Alquiler,0,1,4,3.4,paid off,4
10000,3,37000,17.94,11.3831,3804,50.1,Deuda,Alquiler,0,0,10,4.8,paid off,3
3000,3,30000,23.36,4.3896,2994,99.8,Deuda,Alquiler,0,0,7,0.2,default,5
6000,3,63000,12.04,3.76819,3711,34.0,Deuda,Alquiler,0,1,13,5.8,paid off,11
6000,3,30000,16.88,7.9852,3188,67.8,Deuda,Alquiler,0,0,5,5.6,paid off,11
24375,3,62000,21.43,17.6508,25026,60.6,Deuda,Alquiler,0,0,11,2.2,default,4
20000,3,62400,11.37,13.7644,17680,61.6,Deuda,Alquiler,0,0,17,5.0,paid off,11
5000,3,46000,19.07,4.77157,10265,82.8,Deuda,Alquiler,0,0,11,3.6,paid off,6
3000,3,50000,21.79,2.694,11912,70.1,Mudanza,Alquiler,0,0,14,2.2,default,10
19500,3,68000,15.84,11.5931,23261,30.0,Deuda,Propio,0,0,15,6.0,default,11
27000,3,100000,22.96,10.2881,13683,56.5,Deuda,Alquiler,0,0,14,7.0,paid off,7
6400,3,40000,20.73,6.8712,4001,80.0,Deuda,Hipoteca,0,0,5,5.0,default,2
8200,3,32000,33.08,10.3774,13120,33.0,Deuda,Propio,1,0,7,5.8,default,6
26000,5,65000,33.36,14.0577,24878,80.8,Deuda,Alquiler,0,0,8,1.8,default,1
18000,5,48000,19.83,11.2492,20767,78.4,Deuda,Hipoteca,0,0,12,5.0,default,5
3500,3,15000,21.12,9.5672,7729,38.5,Deuda,Alquiler,0,0,10,4.6,paid off,2
9050,3,50000,23.18,7.96728,11585,54.9,Deuda,Alquiler,0,0,13,3.8,default,6
10000,5,138962,19.49,1.91483,69715,71.0,Deuda,Hipoteca,0,0,17,6.0,default,11
5000,3,59317,16.49,3.33496,0,36.94,No declara,Alquiler,0,0,5,5.4,paid off,6
4375,3,16000,22.13,11.4248,6131,42.3,Deuda renovable,Alquiler,0,1,9,4.4,default,0
15000,3,48000,10.1,13.6043,13635,65.9,Deuda renovable,Hipoteca,0,0,13,3.6,paid off,8
15875,3,40000,19.65,17.3973,3584,56.9,Inversion,Alquiler,0,1,8,3.6,default,11
14000,3,55000,24.22,11.0815,7587,84.3,Deuda renovable,Alquiler,0,0,8,3.4,default,5
12000,3,50000,9.65,8.68608,20108,52.1,Deuda renovable,Hipoteca,0,0,6,6.2,paid off,11
24000,5,68809,21.29,10.5332,3343,25.3,Deuda,Alquiler,0,0,10,3.8,default,6
6000,3,62000,15.19,3.822,17268,63.3,Deuda,Hipoteca,0,0,17,6.0,paid off,7
7200,3,42000,26.74,6.93629,7631,52.3,Deuda renovable,Alquiler,1,0,12,6.0,paid off,11
13500,3,85000,16.41,6.12028,4246,94.4,Deuda renovable,Hipoteca,0,0,6,5.2,paid off,11
20000,5,42000,23.89,14.5886,20368,65.7,Deuda,Propio,0,1,14,3.6,default,8
10250,3,56000,19.63,7.5765,23526,77.1,Deuda renovable,Hipoteca,0,0,12,4.6,paid off,6
14975,5,42000,20.03,11.1109,15284,85.4,Deuda,Propio,0,0,7,3.8,default,11
25000,5,65000,18.02,10.4284,26417,50.7,Deuda,Alquiler,0,0,8,6.0,paid off,3
7000,3,75000,11.76,3.49008,8618,47.6,Deuda renovable,Hipoteca,0,1,11,6.6,default,10
7000,3,30156,7.4,8.59968,7850,34.7,Evento,Propio,0,0,7,6.6,default,0
15000,3,66000,16.38,9.36509,12413,50.4,Deuda renovable,Hipoteca,0,0,10,4.2,default,4
20000,3,76000,22.28,10.3371,22052,57.4,Deuda,Hipoteca,0,0,15,5.4,paid off,8
1800,3,33000,8.51,2.47127,2652,58.9,Bien de Capital,Propio,1,0,9,2.4,default,1
6000,3,52500,10.59,4.2736,8613,32.3,Compra,Alquiler,0,0,8,6.6,paid off,2
21000,5,128000,18.73,5.11247,40617,80.9,Deuda,Hipoteca,0,0,12,3.8,paid off,11
8000,3,45000,17.84,7.3256,3110,75.9,Evento,Alquiler,0,0,19,4.2,default,5
6800,3,110000,12.58,2.4636,12622,43.4,Deuda,Hipoteca,0,1,14,5.6,paid off,8
21000,3,95000,20.94,9.10876,22398,62.7,Deuda,Hipoteca,0,0,18,4.2,default,3
24925,3,73000,21.6,14.0693,15526,28.1,Deuda,Alquiler,0,0,23,4.2,paid off,11
18000,5,97027,13.01,5.96024,16333,75.6,Deuda,Alquiler,0,0,8,2.4,default,4
3250,3,24000,13.15,6.244,3785,55.7,No declara,Alquiler,0,0,8,3.0,default,5
17450,5,102000,22.86,5.01424,123572,34.9,Bien de Capital,Propio,1,0,17,4.8,default,4
8450,3,96000,30.8,3.92388,32987,67.9,Deuda,Hipoteca,0,0,18,4.0,default,11
12000,3,80000,24.02,5.9889,78665,75.0,Deuda,Alquiler,1,0,18,5.6,paid off,11
4850,3,31575,15.35,6.41786,3135,76.5,Deuda,Alquiler,0,0,6,4.4,paid off,7
25975,5,58000,20.23,14.1546,26407,62.4,Deuda,Hipoteca,0,0,8,4.0,default,11
2500,3,32108,23.88,3.27059,8072,92.8,No declara,Alquiler,0,0,6,2.2,default,5
20000,5,40000,19.2,16.8387,12725,88.4,Deuda renovable,Alquiler,1,1,7,1.4,default,9
33000,3,220000,6.35,6.717,10373,44.7,Deuda,Hipoteca,0,0,9,3.0,paid off,11
5675,3,27000,15.64,8.27422,13140,74.2,Deuda,Alquiler,0,0,6,5.4,default,10
7000,3,80000,20.01,3.396,2532,74.5,Negocio,Hipoteca,0,0,8,5.2,default,1
9025,3,75000,14.43,4.87312,8996,57.3,Deuda renovable,Hipoteca,1,0,9,5.8,paid off,11
10000,5,58000,15.43,5.37166,2475,95.2,Deuda,Alquiler,1,0,14,1.6,default,3
3600,3,80000,18.33,2.02035,5473,31.8,Evento,Alquiler,1,1,18,2.2,paid off,11
20000,3,68000,16.16,10.8367,18701,62.1,Deuda,Alquiler,0,0,8,6.4,paid off,11
10000,3,56253,9.73,7.02085,3010,73.4,Deuda,Alquiler,0,0,2,6.0,paid off,11
25450,5,110000,10.23,7.08655,8821,31.7,Deuda,Alquiler,0,1,21,4.0,default,10
8525,3,80000,4.08,4.8171,4449,63.1,Deuda,Alquiler,0,0,6,2.8,paid off,11
2000,3,34000,24.04,2.20094,6274,73.0,Deuda renovable,Hipoteca,0,1,9,7.0,default,11
24375,5,55000,26.57,12.8989,18407,86.8,Deuda,Alquiler,0,0,6,4.8,default,1
17550,3,40000,15.93,17.9052,7035,36.1,Deuda renovable,Alquiler,0,0,9,4.2,default,3
1000,3,73000,13.32,0.608712,1210,80.7,No declara,Hipoteca,1,0,8,4.0,paid off,1
18000,5,110000,20.82,5.32898,36955,87.4,Inversion,Hipoteca,0,0,19,2.4,default,8
6750,3,25000,25.73,11.6765,4875,71.7,Deuda,Alquiler,1,0,8,3.2,default,3
10000,3,29809,8.53,13.5853,10755,59.4,Deuda,Alquiler,0,0,9,5.8,paid off,0
16000,3,235000,4.73,2.59435,19101,79.6,Deuda renovable,Hipoteca,0,0,5,7.0,paid off,5
12875,5,27000,13.69,12.6453,11422,69.2,Deuda,Alquiler,0,0,5,5.6,paid off,2
20000,5,62000,8.78,8.74645,55843,60.2,Deuda,Hipoteca,0,0,8,6.0,paid off,5
6000,3,45000,19.04,5.3672,25082,80.8,No declara,Alquiler,0,0,10,6.0,default,3
5000,5,33000,15.96,4.05564,1865,16.5,No declara,Alquiler,0,0,5,5.6,default,11
6650,3,45000,9.65,6.25573,10834,63.4,Deuda renovable,Hipoteca,0,0,11,5.0,default,11
15000,5,120000,13.23,3.6438,46649,85.0,Hipoteca,Hipoteca,0,0,16,3.8,default,11
16000,5,36000,14.7,7.98033,5165,15.2,Deuda,Alquiler,0,0,8,5.4,default,0
15000,3,137784,20.49,4.7591,107774,97.5,Hipoteca,Hipoteca,0,0,12,3.8,default,1
10000,3,50000,20.15,7.36896,949,9.5,Inversion,Propio,0,0,8,6.4,paid off,4
5500,3,30000,5.59,7.2016,627,10.4,Inversion,Alquiler,0,0,4,5.4,default,1
4800,3,30000,5.92,6.4684,6231,55.6,Deuda,Alquiler,0,1,6,5.8,paid off,7
8000,5,38400,8.31,5.69625,2251,9.3,Deuda,Hipoteca,0,0,8,4.4,paid off,11
23325,5,47000,22.4,16.8776,33483,89.5,Deuda,Alquiler,0,0,11,1.8,default,11
16000,3,64000,18.0,9.82031,24508,68.5,Deuda renovable,Hipoteca,1,0,18,5.4,paid off,11
12800,3,67000,17.78,7.17349,19571,52.5,Deuda renovable,Alquiler,0,0,5,6.8,default,7
21000,5,98000,13.48,6.22739,14578,68.4,Deuda renovable,Hipoteca,0,0,11,4.8,default,11
5600,3,54000,28.16,4.57556,12047,89.9,No declara,Alquiler,0,0,12,3.8,default,10
17050,3,63000,10.88,12.1208,14426,91.3,Deuda renovable,Alquiler,0,0,8,4.0,paid off,0
22800,3,60000,16.72,16.5428,40472,51.3,Deuda,Propio,0,0,14,3.6,default,6
1200,3,4800,13.75,10.2925,0,56.1769,No declara,Alquiler,0,0,7,5.0,default,1
10000,3,59000,9.82,6.32583,83,0.4,Compra,Propio,0,0,4,6.8,default,11
16000,3,600000,1.51,1.01612,22687,44.7,Deuda,Alquiler,0,0,20,7.0,paid off,2
10825,3,80000,33.4,5.0808,61952,64.4,Deuda,Hipoteca,0,0,17,6.8,paid off,10
8000,5,39150,13.89,6.1128,6948,95.2,Deuda,Alquiler,0,0,5,2.6,default,6
28500,3,65000,19.87,19.5511,35143,96.1,Deuda,Hipoteca,0,0,11,2.2,default,4
35000,5,75000,20.46,14.8336,23834,36.6,Inversion,Alquiler,0,0,16,2.2,default,3
30000,3,80000,20.82,16.3251,22224,65.0,Deuda,Hipoteca,1,0,14,3.6,default,11
18550,5,65000,12.24,9.67385,8879,75.9,No declara,Alquiler,0,0,8,2.8,default,6
1000,3,60000,24.76,0.7208,19939,90.6,No declara,Hipoteca,0,0,10,3.2,default,11
8500,3,132800,5.19,2.43895,8623,55.4,Deuda renovable,Hipoteca,0,1,8,7.0,paid off,11
6000,3,40000,11.52,6.5754,8237,37.3,Evento,Alquiler,0,0,11,3.6,paid off,1
23350,5,100000,21.61,7.15344,47737,82.4,Deuda,Hipoteca,0,0,8,3.6,paid off,7
7800,3,44000,19.97,7.15227,3555,74.1,Deuda renovable,Alquiler,0,0,11,5.8,default,6
22250,3,50000,9.09,17.5181,15218,47.0,Compra,Propio,0,0,6,5.4,paid off,11
13750,3,40564,25.77,13.1082,9616,89.0,Deuda,Hipoteca,0,0,8,5.2,paid off,10
22750,3,60000,7.3,15.7636,2247,18.6,Negocio,Hipoteca,0,0,7,3.4,default,4
16700,5,40000,19.89,12.6054,14782,40.1,Deuda,Hipoteca,0,0,12,3.4,default,5
10000,3,37000,18.03,11.449,4401,34.7,Inversion,Propio,0,0,7,4.8,default,4
20000,5,60000,32.98,11.4678,22685,64.4,Deuda renovable,Alquiler,0,0,9,2.0,default,11
2500,3,61565,23.58,1.68096,5942,44.7,Deuda,Propio,0,0,13,4.4,default,5
8000,3,30000,20.16,10.924,1923,76.9,Inversion,Propio,0,0,5,4.8,default,2
6000,3,125000,7.72,1.73722,1863,8.6,Deuda,Propio,0,0,9,6.2,paid off,11
6600,3,63000,5.05,3.82629,122,1.5,Deuda,Hipoteca,0,0,7,6.2,paid off,6
12500,3,67000,15.51,7.10901,12957,67.1,Deuda,Hipoteca,0,0,7,7.0,default,9
18000,3,56000,21.26,13.0851,27292,52.7,Deuda,Alquiler,0,0,8,4.6,paid off,3
4800,5,66000,5.73,2.22818,7943,79.0,Bien de Capital,Alquiler,0,0,8,4.0,default,2
4750,3,43000,18.33,4.74391,2964,14.4,No declara,Hipoteca,0,0,11,5.0,default,6
16000,3,140000,9.77,4.29129,16610,29.1,Deuda,Hipoteca,0,0,14,6.8,paid off,11
10000,3,49500,13.84,8.32097,10006,24.6,No declara,Propio,1,0,8,4.2,paid off,11
17000,5,30996,14.13,14.4712,13828,48.0,Deuda,Alquiler,0,0,9,5.8,default,3
14550,5,37315,8.68,11.3317,10132,47.3,Deuda,Alquiler,0,0,9,4.8,default,11
18000,5,60000,31.34,9.0558,23209,46.1,Deuda,Hipoteca,0,0,12,3.2,default,11
12000,3,38000,26.26,13.3772,12384,55.8,Deuda,Alquiler,0,0,14,4.8,default,4
3000,3,23004,16.01,5.64215,1745,96.9,No declara,Alquiler,0,0,3,1.2,paid off,7
15000,3,40000,16.92,15.8187,16159,41.5,Deuda,Hipoteca,0,0,23,3.4,default,11
11875,3,90000,16.17,5.19427,3260,49.4,Deuda,Hipoteca,1,0,11,5.4,paid off,6
9000,3,33500,19.45,10.5152,8273,73.9,Deuda,Alquiler,0,0,7,5.4,paid off,1
5000,3,50000,18.35,3.88128,41321,53.4,Inversion,Hipoteca,0,0,11,5.2,paid off,11
10000,3,36000,13.0,10.858,10023,61.5,Deuda,Alquiler,0,0,6,5.4,paid off,11
7500,3,84198,20.09,3.34469,57099,51.1,Deuda,Alquiler,0,0,14,6.8,paid off,11
8000,3,76229,19.9,4.64957,10759,24.3,Otros,Alquiler,0,0,22,3.8,paid off,11
5000,3,39000,9.63,5.04708,4304,31.2,Deuda,Alquiler,0,0,11,5.4,default,5
4800,3,70000,7.85,2.70823,4520,58.7,Deuda,Hipoteca,0,1,8,6.0,paid off,9
6300,3,75000,10.32,3.4296,11485,39.9,Deuda renovable,Alquiler,0,1,8,4.2,paid off,11
2000,3,42900,10.29,2.07133,12036,70.4,Mudanza,Alquiler,0,1,10,4.0,paid off,7
9300,3,88000,17.3,3.95195,8723,42.6,Deuda renovable,Hipoteca,0,0,11,6.6,default,11
12000,3,75000,12.98,5.84016,649,3.0,Inversion,Hipoteca,0,0,6,6.4,paid off,6
7350,3,36000,31.59,7.991,8753,59.8,Deuda,Alquiler,0,0,13,5.4,paid off,11
19200,5,46200,17.25,12.526,6520,60.4,Deuda,Propio,1,0,10,4.0,default,4
16950,5,85000,12.3,5.73191,4399,55.7,Deuda,Hipoteca,1,1,9,4.4,default,11
7000,3,25000,14.93,11.8613,8949,68.3,Deuda,Propio,0,0,7,5.0,default,11
4750,3,85400,25.73,2.34267,25221,85.5,No declara,Hipoteca,0,0,10,4.8,default,11
7000,5,30996,23.04,6.48006,18502,79.1,No declara,Alquiler,0,0,5,5.0,paid off,2
32875,3,90000,24.65,15.7941,28651,80.5,Deuda renovable,Hipoteca,0,0,17,3.2,default,11
5000,3,76000,7.33,2.58426,3850,14.5,Inversion,Hipoteca,1,1,26,5.6,paid off,11
6000,3,45000,4.85,5.24907,6391,41.0,Deuda,Alquiler,0,0,8,5.4,paid off,2
2250,3,54000,20.73,1.57822,396,19.8,Inversion,Hipoteca,0,0,5,7.0,default,9
35000,3,200000,8.5,6.66822,20216,23.1,Negocio,Hipoteca,0,0,11,7.0,default,4
8000,3,28776,9.47,10.5934,3270,16.6,Inversion,Hipoteca,1,0,5,7.0,paid off,0
5875,3,40000,6.23,5.5968,7397,16.3,Deuda,Hipoteca,0,0,15,7.0,paid off,4
2000,3,62000,22.87,1.42006,16734,64.4,No declara,Alquiler,0,0,10,3.8,paid off,10
24000,3,60000,21.78,16.9812,35819,95.8,Deuda,Alquiler,0,0,8,2.2,paid off,2
5750,3,62000,7.99,4.25903,1444,90.2,Deuda,Alquiler,0,1,4,3.0,paid off,1
8600,3,32000,25.69,11.2286,8769,40.4,Deuda renovable,Propio,0,0,8,4.4,default,0
8000,3,35000,7.2,5.09794,6610,52.9,Deuda,Alquiler,0,0,6,6.6,paid off,2
1000,3,33240,12.96,1.11949,15255,86.2,Deuda,Propio,0,0,8,6.8,default,0
17200,3,65000,19.37,10.716,14151,64.0,Deuda renovable,Alquiler,0,0,10,5.8,default,6
22000,3,83200,9.45,10.7266,24108,35.4,Deuda,Hipoteca,0,0,23,4.2,default,5
7500,3,33600,8.93,9.00714,5528,87.7,Deuda,Alquiler,0,0,5,3.2,default,1
5600,3,48000,9.82,4.5585,2107,62.0,Compra,Alquiler,0,0,6,5.6,paid off,8
20000,3,54300,19.78,15.1255,14495,58.4,Deuda renovable,Hipoteca,0,0,11,6.0,default,11
16000,5,58000,26.79,8.58559,25076,85.9,Deuda,Alquiler,0,0,14,2.2,paid off,11
15900,5,59412,25.09,9.33226,0,56.1769,Deuda,Alquiler,0,0,5,1.6,default,11
7400,3,37000,19.91,8.52941,12235,63.2,Deuda,Alquiler,0,0,14,3.4,paid off,3
25000,3,50004,16.32,19.4605,10845,53.2,Deuda,Alquiler,0,0,10,6.0,default,1
12000,5,76000,17.54,4.58763,9700,77.6,Deuda,Hipoteca,0,0,13,4.6,default,10
12875,5,85000,19.64,4.31562,5492,33.1,Deuda,Hipoteca,0,1,16,3.4,paid off,2
19500,3,65004,19.41,11.7257,12610,67.4,Deuda,Propio,0,0,6,5.4,default,9
8000,3,30000,23.76,11.2964,12449,42.5,Deuda renovable,Alquiler,0,0,8,4.8,default,0
